customerID,gender,SeniorCitizen,Partner,tenure,Contract,MonthlyCharges,TotalCharges,avg_monthly_spend,tenure_group,is_long_term_contract,Churn
9046-JBFWA,Male,0,false,27,Month-to-month,19.15,537.35,19.9,2-4 years,0,false
0487-VVUVK,Male,0,true,25,Month-to-month,19.15,477.6,19.1,2-4 years,0,false
6979-TNDEU,Female,0,false,8,Month-to-month,19.2,156.85,19.61,0-1 year,0,false
1663-MHLHE,Male,0,false,1,Month-to-month,19.2,19.2,19.2,0-1 year,0,false
9137-NOQKA,Male,1,false,2,Month-to-month,19.2,37.2,18.6,0-1 year,0,false
3308-MHOOC,Male,0,false,1,Month-to-month,19.2,19.2,19.2,0-1 year,0,false
7168-HDQHG,Female,0,true,36,Month-to-month,19.2,702.9,19.52,2-4 years,0,false
4232-JGKIY,Male,0,false,1,Month-to-month,19.2,19.2,19.2,0-1 year,0,false
3373-YZZYM,Male,0,true,1,Month-to-month,19.2,19.2,19.2,0-1 year,0,false
8780-RSYYU,Female,0,false,25,Month-to-month,19.2,532.1,21.28,2-4 years,0,false
9837-FWLCH,Male,0,true,12,Month-to-month,19.2,239.0,19.92,0-1 year,0,false
1098-TDVUQ,Female,0,false,1,Month-to-month,19.25,19.25,19.25,0-1 year,0,false
4541-RMRLG,Male,0,false,7,Month-to-month,19.25,112.3,16.04,0-1 year,0,true
3156-QLHBO,Male,0,false,2,Month-to-month,19.25,48.35,24.18,0-1 year,0,false
5186-PEIZU,Female,0,false,35,Month-to-month,19.25,617.65,17.65,2-4 years,0,false
4946-EDSEW,Female,0,true,11,Month-to-month,19.25,180.3,16.39,0-1 year,0,true
5537-UXXVS,Female,0,true,20,Month-to-month,19.25,375.25,18.76,1-2 years,0,false
0303-WMMRN,Male,0,false,5,Month-to-month,19.25,86.05,17.21,0-1 year,0,false
6082-GLJIX,Male,0,false,18,Month-to-month,19.25,331.35,18.41,1-2 years,0,false
5510-BOIUJ,Male,0,false,1,Month-to-month,19.25,19.25,19.25,0-1 year,0,true
9374-YOLBJ,Female,0,true,1,Month-to-month,19.25,19.25,19.25,0-1 year,0,false
0761-AETCS,Female,0,false,1,Month-to-month,19.3,19.3,19.3,0-1 year,0,true
0396-HUJBP,Female,0,false,2,Month-to-month,19.3,44.4,22.2,0-1 year,0,false
7785-RDVIG,Female,0,true,3,Month-to-month,19.3,54.7,18.23,0-1 year,0,false
7926-IJOOU,Male,0,false,1,Month-to-month,19.3,19.3,19.3,0-1 year,0,false
6112-KTHFQ,Female,0,false,13,Month-to-month,19.3,279.3,21.48,1-2 years,0,false
2320-YKQBO,Female,0,false,7,Month-to-month,19.3,144.95,20.71,0-1 year,0,false
4667-OHGKG,Male,0,false,1,Month-to-month,19.3,19.3,19.3,0-1 year,0,true
1724-IQWNM,Male,0,false,1,Month-to-month,19.3,19.3,19.3,0-1 year,0,false
1735-XMJVH,Male,0,true,8,Month-to-month,19.35,152.6,19.07,0-1 year,0,false
9142-XMYJH,Female,0,false,29,Month-to-month,19.35,601.6,20.74,2-4 years,0,false
0366-NQSHS,Male,0,false,2,Month-to-month,19.35,46.35,23.18,0-1 year,0,false
5917-HBSDW,Female,0,true,37,Month-to-month,19.35,683.75,18.48,2-4 years,0,false
4903-UYAVB,Male,0,true,5,Month-to-month,19.35,126.05,25.21,0-1 year,0,true
2096-XOTMO,Female,0,true,16,Month-to-month,19.35,275.9,17.24,1-2 years,0,false
9063-ZGTUY,Female,0,true,61,Month-to-month,19.4,1182.55,19.39,5+ years,0,true
0098-BOWSO,Male,0,false,27,Month-to-month,19.4,529.8,19.62,2-4 years,0,false
2223-KAGMX,Female,0,false,15,Month-to-month,19.4,289.3,19.29,1-2 years,0,true
2243-FNMMI,Male,0,false,20,Month-to-month,19.4,415.4,20.77,1-2 years,0,false
9101-NTIXF,Male,0,false,2,Month-to-month,19.4,50.6,25.3,0-1 year,0,false
5766-ZJYBB,Male,0,false,1,Month-to-month,19.4,19.4,19.4,0-1 year,0,true
8295-FHIVV,Male,0,false,7,Month-to-month,19.4,168.65,24.09,0-1 year,0,false
0208-BPQEJ,Female,0,true,12,Month-to-month,19.4,198.1,16.51,0-1 year,0,false
9629-NHXFW,Female,0,true,1,Month-to-month,19.4,19.4,19.4,0-1 year,0,false
6878-GGDWG,Female,0,true,32,Month-to-month,19.4,641.15,20.04,2-4 years,0,false
5616-PRTNT,Male,0,false,20,Month-to-month,19.4,374.5,18.73,1-2 years,0,true
8410-BGQXN,Male,0,false,4,Month-to-month,19.4,93.4,23.35,0-1 year,0,false
7298-IZWLY,Female,0,false,1,Month-to-month,19.4,19.4,19.4,0-1 year,0,false
2308-STERM,Female,0,false,2,Month-to-month,19.4,61.05,30.52,0-1 year,0,false
2220-IAHLS,Female,0,false,1,Month-to-month,19.4,19.4,19.4,0-1 year,0,false
7956-XQWGU,Male,0,false,27,Month-to-month,19.4,460.25,17.05,2-4 years,0,false
3679-XASPY,Female,0,true,1,Month-to-month,19.45,19.45,19.45,0-1 year,0,false
8944-AILEF,Male,0,true,15,Month-to-month,19.45,340.85,22.72,1-2 years,0,false
7617-EYGLW,Male,0,false,1,Month-to-month,19.45,19.45,19.45,0-1 year,0,false
1257-SXUXQ,Male,0,true,5,Month-to-month,19.45,86.05,17.21,0-1 year,0,false
1725-MIMXW,Male,0,false,1,Month-to-month,19.45,19.45,19.45,0-1 year,0,true
2171-UDMFD,Male,0,true,32,Month-to-month,19.45,674.55,21.08,2-4 years,0,false
2882-DDZPG,Female,0,false,12,Month-to-month,19.45,227.45,18.95,0-1 year,0,false
3750-RNQKR,Female,0,false,12,Month-to-month,19.45,246.25,20.52,0-1 year,0,false
9174-FKWZE,Female,1,false,1,Month-to-month,19.45,19.45,19.45,0-1 year,0,true
8393-JMVMB,Male,0,false,1,Month-to-month,19.45,19.45,19.45,0-1 year,0,false
4760-XOHVN,Female,0,true,1,Month-to-month,19.45,19.45,19.45,0-1 year,0,true
4801-KFYKL,Male,0,false,8,Month-to-month,19.45,159.2,19.9,0-1 year,0,false
4770-QAZXN,Female,0,false,13,Month-to-month,19.45,232.1,17.85,1-2 years,0,false
1051-GEJLJ,Female,0,false,2,Month-to-month,19.5,27.55,13.78,0-1 year,0,false
3318-ISQFQ,Female,0,false,20,Month-to-month,19.5,413.0,20.65,1-2 years,0,false
9391-TTOYH,Female,0,false,23,Month-to-month,19.5,470.2,20.44,1-2 years,0,false
5624-RYAMH,Female,0,false,9,Month-to-month,19.5,178.85,19.87,0-1 year,0,false
6806-YDEUL,Female,1,false,6,Month-to-month,19.5,106.8,17.8,0-1 year,0,false
7551-JOHTI,Female,0,false,1,Month-to-month,19.5,19.5,19.5,0-1 year,0,true
5906-BFOZT,Male,0,false,1,Month-to-month,19.5,19.5,19.5,0-1 year,0,false
8566-YPRGL,Female,0,false,1,Month-to-month,19.5,19.5,19.5,0-1 year,0,false
1905-OEILC,Female,0,false,1,Month-to-month,19.5,19.5,19.5,0-1 year,0,false
0883-EIBTI,Female,0,false,2,Month-to-month,19.5,31.55,15.78,0-1 year,0,true
8053-WWDRO,Female,0,true,6,Month-to-month,19.5,146.3,24.38,0-1 year,0,true
7727-SHVZV,Female,0,false,9,Month-to-month,19.5,150.35,16.71,0-1 year,0,false
2061-VVFST,Female,0,true,37,Month-to-month,19.5,805.2,21.76,2-4 years,0,false
2866-IKBTM,Female,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,false
1029-QFBEN,Male,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,true
8605-ITULD,Female,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,false
2484-DGXPZ,Female,0,true,31,Month-to-month,19.55,658.95,21.26,2-4 years,0,true
1345-GKDZZ,Male,0,false,6,Month-to-month,19.55,128.6,21.43,0-1 year,0,false
4365-MSDYN,Male,0,true,8,Month-to-month,19.55,161.15,20.14,0-1 year,0,false
2576-HXMPA,Female,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,false
6506-EYCNH,Female,0,true,28,Month-to-month,19.55,543.8,19.42,2-4 years,0,false
3724-UCSHY,Male,0,true,6,Month-to-month,19.55,122.9,20.48,0-1 year,0,false
4693-VWVBO,Female,0,false,3,Month-to-month,19.55,61.05,20.35,0-1 year,0,false
1622-HSHSF,Female,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,false
1237-WIYYZ,Female,0,false,18,Month-to-month,19.55,389.25,21.63,1-2 years,0,false
0927-CNGRH,Male,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,false
7601-WFVZV,Male,0,false,1,Month-to-month,19.55,19.55,19.55,0-1 year,0,false
7989-CHGTL,Male,0,false,1,Month-to-month,19.6,19.6,19.6,0-1 year,0,true
6184-DYUOB,Female,0,true,3,Month-to-month,19.6,55.25,18.42,0-1 year,0,false
4881-GQJTW,Male,0,false,14,Month-to-month,19.6,300.4,21.46,1-2 years,0,false
5702-SKUOB,Female,0,true,4,Month-to-month,19.6,93.45,23.36,0-1 year,0,false
1051-EQPZR,Female,0,true,44,Month-to-month,19.6,780.25,17.73,2-4 years,0,false
4588-YBNIB,Female,0,false,1,Month-to-month,19.6,19.6,19.6,0-1 year,0,true
5468-BPMMO,Male,0,true,46,Month-to-month,19.6,851.2,18.5,2-4 years,0,false
6036-TTFYU,Female,0,true,16,Month-to-month,19.6,314.45,19.65,1-2 years,0,false
9313-CDOGY,Male,0,true,38,Month-to-month,19.6,717.3,18.88,2-4 years,0,false
1087-UDSIH,Female,0,false,3,Month-to-month,19.6,59.75,19.92,0-1 year,0,true
6040-CGACY,Female,0,false,15,Month-to-month,19.6,299.4,19.96,1-2 years,0,false
8457-XIGKN,Male,0,false,20,Month-to-month,19.6,356.15,17.81,1-2 years,0,false
7854-EKTJL,Female,0,false,2,Month-to-month,19.6,35.85,17.93,0-1 year,0,true
4719-UMSIY,Male,0,false,6,Month-to-month,19.65,100.9,16.82,0-1 year,0,false
2640-LYMOV,Male,0,false,2,Month-to-month,19.65,38.8,19.4,0-1 year,0,false
4160-AMJTL,Female,1,false,8,Month-to-month,19.65,164.3,20.54,0-1 year,0,true
8329-IBCTI,Female,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,true
1057-FOGLZ,Female,0,false,18,Month-to-month,19.65,391.7,21.76,1-2 years,0,false
1465-WCZVT,Female,0,true,3,Month-to-month,19.65,60.65,20.22,0-1 year,0,false
2466-NEJOJ,Male,0,true,8,Month-to-month,19.65,169.75,21.22,0-1 year,0,false
1194-SPVSP,Male,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,false
3694-GLTJM,Female,0,false,5,Month-to-month,19.65,92.05,18.41,0-1 year,0,false
7291-CDTMJ,Male,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,false
7721-DVEKZ,Female,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,false
6141-OOXUQ,Male,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,true
3785-NRHYR,Male,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,false
7526-IVLYU,Male,0,false,3,Month-to-month,19.65,68.35,22.78,0-1 year,0,false
0690-SRQID,Male,0,false,4,Month-to-month,19.65,67.55,16.89,0-1 year,0,false
3845-FXCYS,Male,0,false,2,Month-to-month,19.65,31.2,15.6,0-1 year,0,false
1577-HKTFG,Female,0,true,30,Month-to-month,19.65,655.85,21.86,2-4 years,0,true
0970-QXPXW,Female,0,false,1,Month-to-month,19.65,19.65,19.65,0-1 year,0,false
3077-RSNTJ,Female,0,true,6,Month-to-month,19.7,113.5,18.92,0-1 year,0,false
1563-IWQEX,Female,0,false,12,Month-to-month,19.7,220.35,18.36,0-1 year,0,false
3374-PZLXD,Male,0,false,34,Month-to-month,19.7,675.6,19.87,2-4 years,0,false
3981-QSVQI,Male,0,false,8,Month-to-month,19.7,168.9,21.11,0-1 year,0,false
7623-HKYRK,Male,0,false,6,Month-to-month,19.7,111.65,18.61,0-1 year,0,false
0247-SLUJI,Male,0,true,1,Month-to-month,19.7,19.7,19.7,0-1 year,0,false
2332-EFBJY,Male,0,false,16,Month-to-month,19.7,342.4,21.4,1-2 years,0,true
6319-QSUSR,Female,0,false,11,Month-to-month,19.7,216.2,19.65,0-1 year,0,false
3824-RHKVR,Female,0,false,17,Month-to-month,19.7,340.35,20.02,1-2 years,0,false
5396-IZEPB,Male,0,false,9,Month-to-month,19.7,180.7,20.08,0-1 year,0,false
9970-QBCDA,Female,0,false,6,Month-to-month,19.7,129.55,21.59,0-1 year,0,false
6615-ZGEDR,Male,0,false,1,Month-to-month,19.7,19.7,19.7,0-1 year,0,true
3930-ZGWVE,Male,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
8138-EALND,Male,0,false,15,Month-to-month,19.75,311.6,20.77,1-2 years,0,false
3717-OFRTN,Male,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
6849-WLEYG,Male,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,true
5577-OTWWW,Female,0,false,15,Month-to-month,19.75,297.3,19.82,1-2 years,0,true
0268-QKIWO,Female,0,false,3,Month-to-month,19.75,58.85,19.62,0-1 year,0,true
4558-CGYCZ,Male,0,false,4,Month-to-month,19.75,78.3,19.57,0-1 year,0,false
7239-HZZCX,Male,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,true
2465-BLLEU,Male,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
2428-ZMCTB,Male,0,false,10,Month-to-month,19.75,208.25,20.82,0-1 year,0,false
6124-ACRHJ,Female,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
7853-WNZSY,Male,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
3181-MIZBN,Male,0,true,16,Month-to-month,19.75,313.4,19.59,1-2 years,0,false
1156-ZFYDO,Female,0,false,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
3936-QQFLL,Male,0,false,2,Month-to-month,19.75,39.3,19.65,0-1 year,0,false
9103-CXVOK,Male,0,true,1,Month-to-month,19.75,19.75,19.75,0-1 year,0,false
8573-CGOCC,Male,0,false,16,Month-to-month,19.75,294.9,18.43,1-2 years,0,false
8562-GHPPI,Female,0,false,1,Month-to-month,19.8,19.8,19.8,0-1 year,0,false
4892-VLANZ,Male,0,false,1,Month-to-month,19.8,19.8,19.8,0-1 year,0,true
5384-ZTTWP,Female,0,true,15,Month-to-month,19.8,272.95,18.2,1-2 years,0,false
4182-BGSIQ,Female,0,true,10,Month-to-month,19.8,196.75,19.68,0-1 year,0,false
1449-XQEMT,Male,0,false,3,Month-to-month,19.8,58.15,19.38,0-1 year,0,true
9364-YKUVW,Male,0,false,15,Month-to-month,19.8,309.4,20.63,1-2 years,0,false
3675-YDUPJ,Male,0,false,10,Month-to-month,19.85,193.05,19.3,0-1 year,0,false
1135-LMECX,Female,0,false,1,Month-to-month,19.85,19.85,19.85,0-1 year,0,false
0030-FNXPP,Female,0,false,3,Month-to-month,19.85,57.2,19.07,0-1 year,0,false
0107-WESLM,Male,0,false,1,Month-to-month,19.85,19.85,19.85,0-1 year,0,true
4291-HPAXL,Male,0,false,1,Month-to-month,19.85,19.85,19.85,0-1 year,0,false
1498-DQNRX,Female,0,true,29,Month-to-month,19.85,573.05,19.76,2-4 years,0,false
6164-HXUGH,Female,0,true,6,Month-to-month,19.85,119.3,19.88,0-1 year,0,false
8150-QUDFX,Male,0,false,2,Month-to-month,19.85,51.6,25.8,0-1 year,0,false
0310-VQXAM,Male,0,false,9,Month-to-month,19.85,178.8,19.87,0-1 year,0,false
0137-UDEUO,Female,0,false,3,Month-to-month,19.85,63.75,21.25,0-1 year,0,true
0594-UFTUL,Male,0,true,13,Month-to-month,19.85,252.0,19.38,1-2 years,0,false
2303-PJYHN,Female,0,true,2,Month-to-month,19.85,52.0,26.0,0-1 year,0,false
4140-WJAWW,Female,0,false,5,Month-to-month,19.85,108.05,21.61,0-1 year,0,true
4396-KLSEH,Male,0,false,4,Month-to-month,19.85,63.0,15.75,0-1 year,0,false
6776-TLWOI,Male,0,false,3,Month-to-month,19.85,64.55,21.52,0-1 year,0,true
4020-KIUDI,Male,0,true,6,Month-to-month,19.85,138.85,23.14,0-1 year,0,false
9967-ATRFS,Female,0,false,19,Month-to-month,19.9,367.55,19.34,1-2 years,0,false
4800-VHZKI,Female,0,false,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,true
2654-VBVPB,Female,0,false,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,false
3900-AQPHZ,Female,0,false,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,true
0347-UBKUZ,Female,0,false,15,Month-to-month,19.9,320.45,21.36,1-2 years,0,false
3061-BCKYI,Male,0,false,14,Month-to-month,19.9,283.75,20.27,1-2 years,0,false
3530-VWVGU,Female,0,true,22,Month-to-month,19.9,400.3,18.2,1-2 years,0,false
2832-SCUCO,Female,0,false,2,Month-to-month,19.9,57.4,28.7,0-1 year,0,false
6654-QGBZZ,Female,0,false,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,false
5515-IDEJJ,Male,0,true,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,true
2320-JRSDE,Female,0,true,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,true
4936-YPJNK,Female,0,false,10,Month-to-month,19.9,199.45,19.95,0-1 year,0,false
7636-XUHWW,Male,0,false,2,Month-to-month,19.9,33.7,16.85,0-1 year,0,false
5066-GFJMM,Female,0,true,3,Month-to-month,19.9,45.75,15.25,0-1 year,0,false
3043-SUDUA,Female,0,false,32,Month-to-month,19.9,601.55,18.8,2-4 years,0,false
7878-RTCZG,Female,0,false,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,false
2369-FEVNO,Male,0,false,1,Month-to-month,19.9,19.9,19.9,0-1 year,0,false
4895-TMWIR,Male,1,true,11,Month-to-month,19.95,214.75,19.52,0-1 year,0,true
4694-PHWFW,Female,0,false,8,Month-to-month,19.95,170.9,21.36,0-1 year,0,false
9788-YTFGE,Male,0,false,7,Month-to-month,19.95,147.5,21.07,0-1 year,0,false
0114-RSRRW,Female,0,true,10,Month-to-month,19.95,187.75,18.77,0-1 year,0,false
7521-YXVZY,Male,0,false,3,Month-to-month,19.95,58.3,19.43,0-1 year,0,false
3190-FZATL,Male,0,false,14,Month-to-month,19.95,268.4,19.17,1-2 years,0,false
3097-PYWXL,Female,0,true,4,Month-to-month,19.95,82.9,20.73,0-1 year,0,false
6377-KSLXC,Male,0,false,5,Month-to-month,19.95,107.05,21.41,0-1 year,0,false
1796-JANOW,Female,0,false,2,Month-to-month,19.95,38.15,19.07,0-1 year,0,false
3623-FQBOX,Male,0,false,21,Month-to-month,19.95,416.4,19.83,1-2 years,0,false
2542-HYGIQ,Female,0,false,1,Month-to-month,19.95,19.95,19.95,0-1 year,0,false
3506-LCJDC,Male,0,true,1,Month-to-month,19.95,19.95,19.95,0-1 year,0,true
5143-WMWOG,Male,0,false,1,Month-to-month,19.95,19.95,19.95,0-1 year,0,true
5144-PQCDZ,Male,0,false,4,Month-to-month,19.95,59.25,14.81,0-1 year,0,false
3363-EWLGO,Female,0,false,5,Month-to-month,19.95,109.6,21.92,0-1 year,0,false
6286-SUUWT,Male,0,false,1,Month-to-month,19.95,19.95,19.95,0-1 year,0,false
0178-CIIKR,Female,0,false,3,Month-to-month,19.95,58.0,19.33,0-1 year,0,false
4237-CLSMM,Male,0,true,2,Month-to-month,20.0,38.0,19.0,0-1 year,0,false
2393-DIVAI,Female,0,false,3,Month-to-month,20.0,61.7,20.57,0-1 year,0,false
1009-IRMNA,Female,0,false,7,Month-to-month,20.0,137.6,19.66,0-1 year,0,true
3807-XHCJH,Female,0,true,1,Month-to-month,20.0,20.0,20.0,0-1 year,0,false
7047-YXDMZ,Male,0,false,21,Month-to-month,20.0,417.7,19.89,1-2 years,0,false
4712-UYOOI,Female,0,true,20,Month-to-month,20.0,417.65,20.88,1-2 years,0,false
0380-ZCSBI,Male,0,false,10,Month-to-month,20.0,198.7,19.87,0-1 year,0,false
4986-MXSFP,Female,0,false,2,Month-to-month,20.0,40.9,20.45,0-1 year,0,false
4860-YZGZM,Male,0,false,10,Month-to-month,20.0,185.4,18.54,0-1 year,0,false
6734-CKRSM,Female,0,false,3,Month-to-month,20.0,63.6,21.2,0-1 year,0,false
6972-SNKKW,Female,0,false,6,Month-to-month,20.0,109.2,18.2,0-1 year,0,false
1552-CZCLL,Female,0,true,55,Month-to-month,20.0,1087.25,19.77,4-5 years,0,false
7698-YFGEZ,Male,0,false,1,Month-to-month,20.0,20.0,20.0,0-1 year,0,false
8439-LTUGF,Male,0,false,10,Month-to-month,20.0,198.6,19.86,0-1 year,0,false
4877-EVATK,Male,0,false,1,Month-to-month,20.0,20.0,20.0,0-1 year,0,true
3011-WQKSZ,Male,0,false,19,Month-to-month,20.0,377.55,19.87,1-2 years,0,false
7808-DVWEP,Male,0,true,3,Month-to-month,20.0,49.65,16.55,0-1 year,0,false
5688-KZTSN,Male,0,true,15,Month-to-month,20.0,288.05,19.2,1-2 years,0,true
4079-ULGFR,Male,0,false,16,Month-to-month,20.0,275.7,17.23,1-2 years,0,false
9700-ZCLOT,Male,0,false,2,Month-to-month,20.0,32.7,16.35,0-1 year,0,false
7531-GQHME,Male,0,false,12,Month-to-month,20.05,265.45,22.12,0-1 year,0,false
3030-ZKIWL,Male,0,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,false
4785-NKHCX,Male,1,false,5,Month-to-month,20.05,94.15,18.83,0-1 year,0,false
4661-NJEUX,Male,0,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,false
2812-SFXMJ,Male,0,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,false
1349-WXNGG,Male,0,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,true
7874-ECPQJ,Female,0,false,4,Month-to-month,20.05,85.5,21.38,0-1 year,0,false
0188-GWFLE,Male,0,false,2,Month-to-month,20.05,33.7,16.85,0-1 year,0,false
1855-CFULU,Female,1,false,4,Month-to-month,20.05,91.45,22.86,0-1 year,0,false
1336-EZFZY,Female,0,false,4,Month-to-month,20.05,83.3,20.82,0-1 year,0,false
7096-UCLNH,Male,0,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,false
8387-UGUSU,Female,0,true,15,Month-to-month,20.05,284.3,18.95,1-2 years,0,false
1383-EZRWL,Female,0,false,7,Month-to-month,20.05,164.85,23.55,0-1 year,0,true
5919-VCZYM,Male,0,false,2,Month-to-month,20.05,42.7,21.35,0-1 year,0,false
5028-HTLJB,Male,1,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,true
6147-CBCRA,Female,0,true,33,Month-to-month,20.05,669.45,20.29,2-4 years,0,false
8749-CLJXC,Male,0,false,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,false
9867-NNXLC,Female,0,false,22,Month-to-month,20.05,470.2,21.37,1-2 years,0,false
7094-MSZAO,Male,0,true,10,Month-to-month,20.05,218.5,21.85,0-1 year,0,false
7542-CYDDM,Male,0,false,18,Month-to-month,20.05,358.5,19.92,1-2 years,0,false
9962-BFPDU,Female,0,true,1,Month-to-month,20.05,20.05,20.05,0-1 year,0,false
2717-HVIZY,Female,0,false,8,Month-to-month,20.05,163.6,20.45,0-1 year,0,false
3407-QGWLG,Male,0,false,3,Month-to-month,20.05,75.45,25.15,0-1 year,0,false
2159-TURXX,Male,0,false,5,Month-to-month,20.05,95.55,19.11,0-1 year,0,false
8317-BVKSO,Male,0,false,14,Month-to-month,20.05,299.3,21.38,1-2 years,0,false
2164-SOQXL,Female,0,true,20,Month-to-month,20.05,406.05,20.3,1-2 years,0,false
0357-NVCRI,Female,0,false,25,Month-to-month,20.05,471.7,18.87,2-4 years,0,false
0871-OPBXW,Female,0,false,2,Month-to-month,20.05,39.25,19.63,0-1 year,0,false
3148-BLQJT,Male,0,false,1,Month-to-month,20.1,20.1,20.1,0-1 year,0,true
1240-KNSEZ,Male,0,false,1,Month-to-month,20.1,20.1,20.1,0-1 year,0,true
7777-UNYHB,Female,0,true,12,Month-to-month,20.1,232.4,19.37,0-1 year,0,false
9367-TCUYN,Female,0,false,12,Month-to-month,20.1,223.6,18.63,0-1 year,0,false
6861-OKBCE,Female,0,false,11,Month-to-month,20.1,221.35,20.12,0-1 year,0,true
7017-VFULY,Female,0,true,2,Month-to-month,20.1,43.15,21.57,0-1 year,0,false
1000-AJSLD,Male,0,false,1,Month-to-month,20.1,20.1,20.1,0-1 year,0,true
8006-PYCSW,Female,0,false,2,Month-to-month,20.1,39.8,19.9,0-1 year,0,false
1066-JKSGK,Male,0,false,1,Month-to-month,20.15,20.15,20.15,0-1 year,0,true
2120-SMPEX,Male,0,false,25,Month-to-month,20.15,536.35,21.45,2-4 years,0,false
1934-SJVJK,Male,0,false,1,Month-to-month,20.15,20.15,20.15,0-1 year,0,true
3977-QCRSL,Female,0,false,5,Month-to-month,20.15,117.95,23.59,0-1 year,0,false
4897-QSUYC,Female,0,false,1,Month-to-month,20.15,20.15,20.15,0-1 year,0,true
